"fish","SST","W"
0,15.5136472734157,"Sunny"
0,17.3261062938254,"Rainy"
0,20.7385071769822,"Rainy"
1,26.4395324299112,"Sunny"
0,14.4285928276367,"Sunny"
0,26.2726246444508,"Rainy"
0,27.059479566291,"Rainy"
0,22.2335624722764,"Rainy"
1,21.694938746281,"Sunny"
0,12.0503665979486,"Rainy"
1,14.5015677732881,"Sunny"
0,14.0014647929929,"Sunny"
0,22.6793883931823,"Rainy"
0,17.5297632096335,"Rainy"
1,24.0873041399755,"Rainy"
0,19.4608871154487,"Rainy"
1,23.1995146404952,"Sunny"
1,27.8624036121182,"Rainy"
0,17.4605980503839,"Rainy"
1,24.2165687624365,"Sunny"
1,26.8899889288004,"Sunny"
0,14.6064228618052,"Rainy"
0,22.0784540234599,"Rainy"
0,13.1344366313424,"Rainy"
1,15.542751368368,"Sunny"
0,17.5639395732433,"Rainy"
0,11.2276356637012,"Rainy"
0,17.5005952701904,"Rainy"
0,25.784744377248,"Rainy"
0,16.7859329436906,"Rainy"
0,19.1953619630076,"Rainy"
0,21.1926190322265,"Rainy"
0,19.3902022198308,"Rainy"
1,14.1656992239878,"Sunny"
1,25.0653464163188,"Sunny"
0,22.3639345492702,"Rainy"
0,24.5020776323508,"Rainy"
0,12.8350416400936,"Rainy"
1,23.3030860826839,"Sunny"
0,17.99166530394,"Rainy"
1,24.9560869999696,"Sunny"
1,22.0000232949387,"Sunny"
1,24.3098569589201,"Rainy"
0,20.4016172979027,"Rainy"
1,20.005232863361,"Sunny"
0,24.4190559387207,"Rainy"
0,11.3966304396745,"Rainy"
1,19.1129111056216,"Sunny"
0,23.4493335573934,"Rainy"
0,22.7764364602044,"Sunny"
0,19.1195335763041,"Sunny"
1,25.6405611061491,"Rainy"
0,18.4476508228108,"Rainy"
0,15.1615537095349,"Rainy"
0,12.2015438014641,"Rainy"
0,12.6909247229341,"Rainy"
0,16.3766190221068,"Rainy"
0,19.816782474285,"Rainy"
0,22.2540862991009,"Rainy"
0,17.9161131822038,"Rainy"
0,26.5188907124102,"Rainy"
0,15.991257336922,"Sunny"
0,18.8041173464153,"Rainy"
0,16.6507094611879,"Sunny"
1,22.0647979401983,"Sunny"
0,15.3862852721941,"Rainy"
0,19.1352692206856,"Rainy"
0,24.0272814009804,"Rainy"
0,12.4321975442581,"Sunny"
0,25.8804626106285,"Rainy"
1,16.7642399433535,"Sunny"
1,25.270485953195,"Sunny"
1,16.8936193156987,"Sunny"
0,16.6741738235578,"Rainy"
0,19.0979711662512,"Rainy"
1,26.1673717093654,"Sunny"
1,25.6937710007187,"Sunny"
1,17.6298222390469,"Sunny"
1,24.2144518801942,"Sunny"
1,27.3305059527047,"Sunny"
0,18.3892112411559,"Rainy"
0,23.1127495381515,"Rainy"
0,17.7999042712618,"Sunny"
0,16.530986581929,"Rainy"
1,23.8704815164674,"Sunny"
0,14.445768337464,"Rainy"
1,23.0890607819892,"Sunny"
0,13.0687626574654,"Sunny"
0,15.1733047373127,"Sunny"
0,13.4361744502094,"Rainy"
0,15.0737000566442,"Sunny"
0,12.0018844136503,"Rainy"
1,21.9189003950451,"Rainy"
1,25.8965766157489,"Sunny"
0,24.2415495165624,"Rainy"
0,24.5542500400916,"Rainy"
0,18.7396657115314,"Rainy"
1,17.9714293947909,"Sunny"
0,24.7847941271029,"Rainy"
0,21.2838659347035,"Sunny"
